City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.12,96,99,2.6,GS,1699580105
1,puerto natales,-51.7236,-72.4875,9.25,49,40,6.17,CL,1699580110
2,umba,66.6871,34.3429,-4.17,91,92,1.74,RU,1699580676
3,gaalkacyo,6.7697,47.4308,24.19,74,98,5.29,SO,1699580676
4,malango,-2.9627,119.9001,28.48,54,19,1.76,ID,1699580677
5,aldan,58.6031,125.3894,-17.22,90,97,1.84,RU,1699580677
6,mount isa,-20.7333,139.5,28.87,54,100,4.12,AU,1699580678
7,norilsk,69.3535,88.2027,-5.32,81,100,7.05,RU,1699580679
8,port-aux-francais,-49.35,70.2167,5.44,97,100,9.9,TF,1699580103
9,coquimbo,-29.9533,-71.3436,15.85,82,100,3.09,CL,1699580138
10,aral,40.5156,81.2636,7.75,33,100,2.79,CN,1699580134
11,korla,41.7597,86.1469,8.0,35,56,5.62,CN,1699580681
12,olonkinbyen,70.9221,-8.7187,-2.33,73,100,2.19,SJ,1699579864
13,keflavik,64.0049,-22.5624,2.24,69,0,1.54,IS,1699580168
14,yellowknife,62.456,-114.3525,0.31,98,100,12.35,CA,1699580115
15,ushuaia,-54.8,-68.3,8.81,86,40,5.66,AR,1699580122
16,sitka,57.0531,-135.33,6.94,81,100,3.6,US,1699580180
17,port mathurin,-19.6833,63.4167,24.75,77,9,5.86,MU,1699580162
18,wailua homesteads,22.0669,-159.378,27.44,78,0,3.58,US,1699580137
19,avarua,-21.2078,-159.775,26.03,78,20,4.12,CK,1699580172
20,marsh harbour,26.5412,-77.0636,26.12,74,8,6.34,BS,1699580684
21,nemuro,43.3236,145.575,14.12,86,100,13.16,JP,1699580199
22,tindouf,27.6711,-8.1474,19.25,26,28,3.09,DZ,1699580152
23,albany,42.6001,-73.9662,8.23,74,100,0.45,US,1699580685
24,east london,-33.0153,27.9116,16.38,84,0,2.24,ZA,1699580153
25,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,73,100,9.39,RU,1699580204
26,qaqortoq,60.7167,-46.0333,-5.65,79,8,4.14,GL,1699580231
27,mount pearl,47.5166,-52.7813,2.96,96,100,10.8,CA,1699580111
28,saipan,15.1355,145.701,31.39,74,40,6.69,MP,1699580127
29,khovd,48.0056,91.6419,-3.98,84,99,1.08,MN,1699580687
30,picos,-7.0769,-41.4669,29.39,40,55,1.5,BR,1699580688
31,kruisfontein,-34.0033,24.7314,12.93,78,0,2.13,ZA,1699580110
32,waitangi,-43.9535,-176.5597,12.12,64,95,2.68,NZ,1699580115
33,shadipur julana,29.1333,76.4167,20.92,41,5,1.66,IN,1699580689
34,tateyama,34.9833,139.8667,18.39,68,100,6.59,JP,1699580157
35,papatowai,-46.5619,169.4708,12.67,47,2,2.72,NZ,1699580181
36,iskateley,67.6803,53.1512,-4.43,94,39,4.47,RU,1699580156
37,andreapol',56.6513,32.2664,2.47,96,60,1.86,RU,1699580690
38,atafu village,-8.5421,-172.5159,29.25,76,100,6.43,TK,1699580112
39,afaahiti,-17.75,-149.2833,28.93,84,37,5.48,PF,1699580184
40,hamilton,39.1834,-84.5333,13.21,45,100,3.6,US,1699579882
41,thompson,55.7435,-97.8558,-10.91,79,20,2.06,CA,1699580121
42,edinburgh of the seven seas,-37.0676,-12.3116,11.93,66,86,2.85,SH,1699580134
43,vorgashor,67.5833,63.95,-3.41,96,99,5.32,RU,1699580244
44,invercargill,-46.4,168.35,14.45,59,0,3.13,NZ,1699579919
45,endicott,42.0984,-76.0494,7.4,82,0,3.09,US,1699580693
